fips,2020/01/01,2020/02/01,2020/03/01,2020/04/01,2020/05/01,2020/06/01,2020/07/01,2020/08/01,2020/09/01,2020/10/01,2020/11/01,2020/12/01,2021/01/01,2021/02/01,2021/03/01,2021/04/01,2021/05/01,2021/06/01,2021/07/01,2021/08/01,2021/09/01,2021/10/01,2021/11/01,2021/12/01,2022/01/01,2022/02/01
51171,0,0,0,3,19,8,13,6,11,2,1,11,21,25,9,3,4,0,0,3,12,15,17,10,8,18
51173,0,0,0,0,0,1,2,0,17,7,11,20,20,11,5,2,2,1,1,1,7,15,5,16,4,2
51175,0,0,0,1,1,2,8,1,12,13,2,2,4,5,4,3,0,0,0,1,2,5,3,5,1,5
51177,0,0,0,3,4,22,6,8,8,10,4,9,15,17,9,6,8,3,0,3,12,9,14,21,24,35
51179,0,0,0,2,2,1,2,3,10,4,2,2,24,19,5,6,5,1,1,5,12,6,6,5,5,20
51181,0,0,0,1,0,0,1,1,0,2,0,0,0,1,3,0,0,0,0,0,1,1,1,2,1,3
51183,0,0,0,1,1,0,5,0,3,0,0,0,3,0,5,0,1,0,1,0,3,2,2,2,1,1
51185,0,0,0,0,0,0,0,1,1,0,5,17,6,19,13,2,7,4,1,2,11,16,14,2,7,13
51187,0,0,0,0,2,3,4,0,1,14,6,7,4,8,7,3,3,4,0,4,6,13,10,13,14,10
51191,0,0,0,3,1,0,0,4,12,5,5,13,35,15,7,6,4,1,5,0,17,14,13,19,13,7
51193,0,0,0,0,1,1,0,1,0,2,2,2,7,1,5,2,2,1,0,2,2,3,5,1,1,2
51195,0,0,0,1,1,0,1,2,4,1,39,9,25,7,4,5,3,3,2,4,9,13,4,14,14,6
51197,0,0,0,1,0,0,2,0,1,3,0,21,8,22,16,5,3,0,0,5,3,13,9,8,2,7
51199,0,0,0,1,2,0,0,3,2,0,0,3,4,15,20,2,2,1,0,1,9,7,7,4,1,7
51510,0,0,0,22,23,16,2,6,7,6,3,11,17,15,13,6,4,2,2,1,2,5,6,6,8,8
51520,0,0,0,0,0,0,0,2,3,2,0,1,16,5,3,3,2,2,0,4,4,3,3,8,5,2
51530,0,0,0,0,0,0,0,1,0,0,0,3,8,3,4,0,3,0,0,0,0,3,3,6,2,2
51540,0,0,0,2,1,0,8,8,11,3,0,4,6,5,9,2,1,0,1,0,2,4,4,2,1,2
51550,0,0,0,6,9,5,8,19,26,11,3,21,35,51,87,17,14,6,4,3,19,26,12,10,9,21
51570,0,0,0,5,12,0,4,1,4,0,0,2,3,10,15,3,0,1,0,2,2,2,3,2,3,9
51580,0,0,0,0,0,0,0,0,0,0,1,3,0,4,2,1,1,0,0,0,0,2,2,1,2,0
51590,0,0,0,1,1,0,3,11,12,16,6,14,4,37,19,12,6,4,3,11,12,21,6,12,8,12
51595,0,0,0,2,3,9,1,1,10,2,0,2,2,7,3,0,0,0,0,0,0,1,1,0,0,3
51600,0,0,0,2,5,3,0,0,0,0,1,1,2,1,5,1,0,1,0,0,1,0,15,1,0,3
51610,0,0,0,2,6,1,0,2,1,0,1,0,0,1,3,1,0,1,0,0,0,0,7,0,0,1
51620,0,0,0,0,3,0,4,0,3,4,3,1,4,5,2,4,0,1,0,1,5,4,1,1,0,1
51630,0,0,0,0,0,2,4,5,2,1,1,4,5,3,3,1,1,1,0,0,0,1,0,1,2,1
51640,0,0,0,0,0,13,6,10,2,0,0,5,4,6,7,1,2,0,0,0,4,4,2,4,2,1
51650,0,0,0,1,2,2,1,11,11,6,2,13,18,45,46,16,6,4,3,6,27,21,12,7,7,14
51660,0,0,0,11,12,2,5,4,1,1,2,7,17,18,18,1,1,0,0,1,5,6,10,2,4,9
51670,0,0,0,0,0,2,3,0,2,1,1,1,6,26,21,5,8,2,1,3,3,3,2,8,4,7
51678,0,0,0,0,0,0,0,0,1,0,0,2,15,5,4,2,0,0,0,0,0,3,1,1,0,1
51680,0,0,0,1,0,0,1,3,8,15,4,24,18,44,27,5,7,4,1,7,17,14,8,20,14,17
51683,0,0,0,3,9,7,4,4,3,2,1,2,4,6,6,1,0,1,0,1,2,1,2,3,1,4
51685,0,0,0,1,5,1,1,0,2,0,0,0,0,3,1,0,0,0,0,0,1,0,2,2,0,0
51690,0,0,0,0,0,0,2,4,12,7,0,3,9,20,12,3,1,2,0,1,5,4,5,8,1,6
